,Participant,ENSG00000124813.20,ENSG00000159216.18,ENSG00000001167.14
208,pt-9a3p90jf,967.572542652889,3064.50583239572,1274.13054916314
209,pt-3yb70s2m,1119.02227094858,2064.8059162291,1590.02256443352
210,pt-b4dvjhre,838.041753437775,2819.46328410661,1204.5513217934
211,pt-2kv620a8,837.457595171897,1861.36379016504,1068.6562268732
212,pt-bv50zct9,1604.21051951142,1963.37890425167,1528.94674321433
213,pt-jnqt6aww,1099.90109628202,2757.17912637872,1555.07036208744
214,pt-d7q0gmkt,928.608257772891,2500.62285384007,1319.63121155505
215,pt-w6q8kdrn,1666.29270433862,2230.66049131002,1563.37270211722
216,pt-ga86wyec,1312.34736805126,2331.62435224959,1605.28237269571
217,pt-dmtan35a,1196.4565538487,2590.92428382537,1368.23841240001
218,pt-kjv6ybeq,1111.43734105867,2179.83984701664,1500.3626414857
219,pt-n9ns7923,1468.07949859101,3138.1203403821,1876.52110210017
220,pt-01qcpze4,949.113864267486,2549.96379409197,1356.86920467529
221,pt-y7n920es,1562.78495781363,2522.57631324681,1636.20679863515
222,pt-bs67vr8k,844.789261382644,2447.44858524838,1709.54830149711
223,pt-x5hfn88w,1112.2069588466,2911.70469178721,1439.29099050853
224,pt-cd09myzr,1010.14726719839,2704.84636965739,1934.8561844741
225,pt-vfzrk7j8,813.219728359253,3650.30679326222,1327.11311287526
226,pt-6j64j0v5,758.046069897539,2530.43203810545,1309.18658373859
227,pt-q8sr89ta,1501.96469899358,2682.28411945231,1658.33963656515
228,pt-xamek536,726.758569419149,2104.23218210875,1612.11178843085
229,pt-6y2d3bqw,875.815450465581,2341.02565871388,1339.73224784626
230,pt-xfpgrz0w,663.993889060114,2716.56781821918,1379.61402210913
231,pt-x2se3k91,907.00033046826,3326.22718823667,1191.16220117826
232,pt-6rj3e5an,1552.06814475565,3109.33663440687,1656.28797747425
233,pt-hcm9qqcd,844.075618564107,2519.91822484189,1496.71917530326
234,pt-nqfjja9f,1488.34054854864,1946.38900861316,2098.79316921516
235,pt-j2k6dfch,1023.20652517901,2667.92258009308,1208.69533785441
236,pt-rrd3xwxr,703.465528188927,2538.71271032919,1158.90891416069
237,pt-3ps3k7dr,942.493310494765,2918.45100310777,1373.138319196
238,pt-bkbcxxyp,624.466261643253,1668.26118280966,908.227882333621
239,pt-zxqf7a0e,1327.40651757181,1496.06239595654,882.723443360223
240,pt-za2fve7f,1396.59578918665,3547.61613867381,1476.14808076406
241,pt-1acnnv17,870.526747672169,3088.77796602709,1075.22063210985
242,pt-01a07wj1,1052.46869394809,1976.0728606697,1235.38628458827
243,pt-47hy69dt,1294.83869105421,2509.3976708346,1737.21878367862
